"subj","block","cor","setsize","mval"
15,5,0,4,-0.6576781
15,5,0,6,-3.87945985535294
15,5,1,2,0.457619312638298
15,5,1,4,-0.665010726635897
15,5,1,6,-2.06917183751724
16,1,0,4,1.76051719354839
16,1,0,6,1.4677183172043
16,1,1,2,4.06860850148213
16,1,1,4,3.15700462736269
16,1,1,6,-0.833832129205069
16,2,0,4,-5.86847225806452
16,2,0,6,0.351663464697581
16,2,1,2,3.9528839389977
16,2,1,4,-1.24266272247312
16,2,1,6,-0.979600853612903
16,3,0,4,-2.51615435806452
16,3,0,6,-3.73608930376344
16,3,1,2,3.84397024301075
16,3,1,4,-1.85598610573477
16,3,1,6,-1.4606543125
16,4,0,6,0.684022588387097
16,4,1,2,2.84767186290323
16,4,1,4,1.61918445340502
16,4,1,6,-0.211949366451613
16,5,0,4,-0.96941547311828
16,5,0,6,1.13961088709677
16,5,1,2,-1.29326745670968
16,5,1,4,1.39087034792627
16,5,1,6,-0.770136247983871
17,1,0,2,2.41120776612903
17,1,0,4,4.35289477217742
17,1,0,6,2.18996560007681
17,1,1,2,2.56495738191244
17,1,1,4,1.16131618593787
17,1,1,6,1.44253261370968
17,2,0,2,4.03862996290323
17,2,0,4,1.20544818421053
17,2,0,6,-0.315720278225806
17,2,1,2,3.88115440518084
17,2,1,4,2.26723800645161
17,2,1,6,0.495934935554839
17,3,0,2,2.29767165322581
17,3,0,4,0.729778689753321
17,3,0,6,3.35067075053763
17,3,1,2,0.765404666078629
17,3,1,4,1.61643300104839
17,3,1,6,1.26979223174873
17,4,0,2,5.14204542419355
17,4,0,4,2.65747403722084
17,4,0,6,1.15500933410138
17,4,1,2,2.02323000040323
17,4,1,4,1.40972355360531
17,4,1,6,-0.457705174193548
17,5,0,2,-2.21924182995392
17,5,0,4,-1.12381081637717
17,5,0,6,3.09614781214421
17,5,1,2,0.447040976290323
17,5,1,4,1.00268554731183
17,5,1,6,2.56157580376344
18,1,0,2,-2.37836612903226
18,1,0,4,1.95053460645161
18,1,0,6,1.4154937625448
18,1,1,2,1.10127584642546
18,1,1,4,-1.60806133251821
18,1,1,6,0.520236835685484
18,2,0,2,-9.16055077419355
18,2,0,4,-3.13943681363636
18,2,0,6,-2.53370831145161
18,2,1,2,-1.77681481012354
18,2,1,4,-1.51647935215054
18,2,1,6,-1.35198378013142
18,3,0,2,3.49653966774194
18,3,0,4,2.90581070373514
18,3,0,6,-2.19978486827957
18,3,1,2,-1.66432070424448
18,3,1,4,0.169302604560623
18,3,1,6,1.45369052552836
18,4,0,2,9.44747414516129
18,4,0,4,2.68293490552995
18,4,0,6,-2.08336015505376
18,4,1,2,-2.88216523931997
18,4,1,4,-2.812003369773
18,4,1,6,5.11136937483871
18,5,0,2,7.00353293778802
18,5,0,4,-5.72102860356537
18,5,0,6,-3.50729971424731
18,5,1,2,-1.62148722275501
18,5,1,4,1.13244847244624
18,5,1,6,-1.38225262612903
19,1,0,2,6.77488655080645
19,1,0,4,17.969187016129
19,1,0,6,4.2936466359447
19,1,1,2,3.73476806195773
19,1,1,4,2.4764184187788
19,1,1,6,3.06033586162988
19,2,0,2,-6.11497158064516
19,2,0,4,-2.21001846774194
19,2,0,6,-0.685588225806452
19,2,1,2,2.40685449385561
19,2,1,4,2.7423465
19,2,1,6,2.10458462639296
19,3,0,6,4.19384456048387
19,3,1,2,2.89138764448925
19,3,1,4,0.406179877134725
19,3,1,6,5.48115817741935
19,4,0,4,2.04996410537634
19,4,0,6,4.8681449
19,4,1,2,-0.24232855483871
19,4,1,4,3.84966443225806
19,4,1,6,1.9988725188172
19,5,0,2,-12.8409218548387
19,5,0,4,3.25422838709677
19,5,0,6,-2.48909535483871
19,5,1,2,1.96455956774194
19,5,1,4,7.2553294402277
19,5,1,6,-0.892702131964809
